"","modelName","r"
"235","0.6_0.4_0.0_6.church",0.949652332720004
"236","0.6_0.4_0.0_7.church",0.949641093674734
"234","0.6_0.4_0.0_5.church",0.949640916738337
"237","0.6_0.4_0.0_8.church",0.949634559628571
"238","0.6_0.4_0.0_9.church",0.949631813908754
"233","0.6_0.4_0.0_4.church",0.949393902224558
"232","0.6_0.4_0.0_3.church",0.948090565716379
"204","0.5_0.4_0.1_3.church",0.928697327635989
"205","0.5_0.4_0.1_4.church",0.921448494683777
"206","0.5_0.4_0.1_5.church",0.91684678601084
"207","0.5_0.4_0.1_6.church",0.914699708089751
"208","0.5_0.4_0.1_7.church",0.913831989865596
"209","0.5_0.4_0.1_8.church",0.91350121381007
"210","0.5_0.4_0.1_9.church",0.913377907841052
"231","0.6_0.3_0.1_9.church",0.906221742691504
"230","0.6_0.3_0.1_8.church",0.906142940304375
"229","0.6_0.3_0.1_7.church",0.905929326104875
"228","0.6_0.3_0.1_6.church",0.905353244775658
"227","0.6_0.3_0.1_5.church",0.90382437613348
"226","0.6_0.3_0.1_4.church",0.899975481194378
"225","0.6_0.3_0.1_3.church",0.891696463882413
"176","0.4_0.5_0.1_3.church",0.793393655540391
"252","0.7_0.2_0.1_9.church",0.775368137990105
"251","0.7_0.2_0.1_8.church",0.775278376845098
"250","0.7_0.2_0.1_7.church",0.775036348078071
"249","0.7_0.2_0.1_6.church",0.774392670199899
"177","0.4_0.5_0.1_4.church",0.773510185387084
"248","0.7_0.2_0.1_5.church",0.772742090475548
"247","0.7_0.2_0.1_4.church",0.768882138141029
"178","0.4_0.5_0.1_5.church",0.763293994365207
"197","0.5_0.3_0.2_3.church",0.763027426387182
"246","0.7_0.2_0.1_3.church",0.761531647848409
"179","0.4_0.5_0.1_6.church",0.758951823793726
"180","0.4_0.5_0.1_7.church",0.757260937161489
"181","0.4_0.5_0.1_8.church",0.756625382785428
"182","0.4_0.5_0.1_9.church",0.756389700948699
"169","0.4_0.4_0.2_3.church",0.750958716385073
"198","0.5_0.3_0.2_4.church",0.745253132761897
"199","0.5_0.3_0.2_5.church",0.734536633212926
"200","0.5_0.3_0.2_6.church",0.729624164153664
"201","0.5_0.3_0.2_7.church",0.727651357004663
"202","0.5_0.3_0.2_8.church",0.726901049688985
"203","0.5_0.3_0.2_9.church",0.72662158806054
"170","0.4_0.4_0.2_4.church",0.707984408159821
"171","0.4_0.4_0.2_5.church",0.685414432867213
"172","0.4_0.4_0.2_6.church",0.675755986300912
"173","0.4_0.4_0.2_7.church",0.671987018176114
"174","0.4_0.4_0.2_8.church",0.670569395010585
"175","0.4_0.4_0.2_9.church",0.670043572157902
"253","0.8_0.1_0.1_3.church",0.634046217579657
"254","0.8_0.1_0.1_4.church",0.633797136640227
"255","0.8_0.1_0.1_5.church",0.633698014166297
"256","0.8_0.1_0.1_6.church",0.63366034167286
"257","0.8_0.1_0.1_7.church",0.633646198987347
"258","0.8_0.1_0.1_8.church",0.633640945998829
"259","0.8_0.1_0.1_9.church",0.633639005991644
"218","0.6_0.2_0.2_3.church",0.595520649777498
"141","0.3_0.6_0.1_3.church",0.591242097551838
"219","0.6_0.2_0.2_4.church",0.581814428393585
"142","0.3_0.6_0.1_4.church",0.574946647251426
"220","0.6_0.2_0.2_5.church",0.574221715241994
"221","0.6_0.2_0.2_6.church",0.570860635951173
"222","0.6_0.2_0.2_7.church",0.569528437431453
"223","0.6_0.2_0.2_8.church",0.569024210838359
"224","0.6_0.2_0.2_9.church",0.568836738351632
"143","0.3_0.6_0.1_5.church",0.566973239895287
"144","0.3_0.6_0.1_6.church",0.56366079352806
"145","0.3_0.6_0.1_7.church",0.562382820318315
"146","0.3_0.6_0.1_8.church",0.561904172312311
"147","0.3_0.6_0.1_9.church",0.561726911261992
"134","0.3_0.5_0.2_3.church",0.478687005724335
"239","0.7_0.1_0.2_3.church",0.466995429449118
"240","0.7_0.1_0.2_4.church",0.449723321378282
"135","0.3_0.5_0.2_4.church",0.445522153511814
"241","0.7_0.1_0.2_5.church",0.440569473189641
"242","0.7_0.1_0.2_6.church",0.436612883126982
"243","0.7_0.1_0.2_7.church",0.435060707280105
"244","0.7_0.1_0.2_8.church",0.434475581193266
"245","0.7_0.1_0.2_9.church",0.434258359478814
"136","0.3_0.5_0.2_5.church",0.429483982553237
"137","0.3_0.5_0.2_6.church",0.422865528924385
"99","0.2_0.7_0.1_3.church",0.42226005058615
"138","0.3_0.5_0.2_7.church",0.420319578378073
"139","0.3_0.5_0.2_8.church",0.419367133889015
"140","0.3_0.5_0.2_9.church",0.419014563289991
"100","0.2_0.7_0.1_4.church",0.412767510469184
"101","0.2_0.7_0.1_5.church",0.40819464190598
"102","0.2_0.7_0.1_6.church",0.406309123947311
"103","0.2_0.7_0.1_7.church",0.405583925374303
"104","0.2_0.7_0.1_8.church",0.405312635637231
"105","0.2_0.7_0.1_9.church",0.405212211847114
"50","0.1_0.8_0.1_3.church",0.299039793057997
"51","0.1_0.8_0.1_4.church",0.294098508816206
"52","0.1_0.8_0.1_5.church",0.291734624272674
"53","0.1_0.8_0.1_6.church",0.290763395989774
"54","0.1_0.8_0.1_7.church",0.290390408579171
"55","0.1_0.8_0.1_8.church",0.290250959063808
"56","0.1_0.8_0.1_9.church",0.290199350108016
"92","0.2_0.6_0.2_3.church",0.270068413113751
"93","0.2_0.6_0.2_4.church",0.252862865555716
"94","0.2_0.6_0.2_5.church",0.244653459789107
"95","0.2_0.6_0.2_6.church",0.241285278260541
"96","0.2_0.6_0.2_7.church",0.239992556705331
"97","0.2_0.6_0.2_8.church",0.239509359124309
"98","0.2_0.6_0.2_9.church",0.239330548221726
"162","0.4_0.3_0.3_3.church",0.222859610403052
"190","0.5_0.2_0.3_3.church",0.219851694429625
"211","0.6_0.1_0.3_3.church",0.19294149246364
"191","0.5_0.2_0.3_4.church",0.170967722929613
"212","0.6_0.1_0.3_4.church",0.155556562683277
"163","0.4_0.3_0.3_4.church",0.150016231036183
"43","0.1_0.7_0.2_3.church",0.147120557571285
"192","0.5_0.2_0.3_5.church",0.146321838426844
"44","0.1_0.7_0.2_4.church",0.137759111952032
"213","0.6_0.1_0.3_5.church",0.136507014486339
"193","0.5_0.2_0.3_6.church",0.135967660664271
"45","0.1_0.7_0.2_5.church",0.133302814635794
"194","0.5_0.2_0.3_7.church",0.13195700145411
"46","0.1_0.7_0.2_6.church",0.131476580245645
"47","0.1_0.7_0.2_7.church",0.130775998061749
"48","0.1_0.7_0.2_8.church",0.130514180122465
"195","0.5_0.2_0.3_8.church",0.130452717565495
"49","0.1_0.7_0.2_9.church",0.130417299046371
"196","0.5_0.2_0.3_9.church",0.129895336573912
"214","0.6_0.1_0.3_6.church",0.128447854837611
"215","0.6_0.1_0.3_7.church",0.125315926776026
"216","0.6_0.1_0.3_8.church",0.124139674621699
"217","0.6_0.1_0.3_9.church",0.123703619128047
"164","0.4_0.3_0.3_5.church",0.115787675684763
"165","0.4_0.3_0.3_6.church",0.101911474255486
"166","0.4_0.3_0.3_7.church",0.0966164139389793
"167","0.4_0.3_0.3_8.church",0.0946418555712608
"168","0.4_0.3_0.3_9.church",0.0939118107798597
"127","0.3_0.4_0.3_3.church",0.0731082742899151
"128","0.3_0.4_0.3_4.church",0.019205185277569
"129","0.3_0.4_0.3_5.church",-0.00465030126088057
"130","0.3_0.4_0.3_6.church",-0.0140966016564599
"131","0.3_0.4_0.3_7.church",-0.0176698967382618
"132","0.3_0.4_0.3_8.church",-0.0189981231928345
"133","0.3_0.4_0.3_9.church",-0.0194886225169545
"85","0.2_0.5_0.3_3.church",-0.0464744002411203
"86","0.2_0.5_0.3_4.church",-0.0715683007927922
"87","0.2_0.5_0.3_5.church",-0.0831036238336295
"88","0.2_0.5_0.3_6.church",-0.0877536341595216
"89","0.2_0.5_0.3_7.church",-0.0895254856622405
"90","0.2_0.5_0.3_8.church",-0.0901859420840206
"91","0.2_0.5_0.3_9.church",-0.0904300960989332
