"","modelName","r"
"36","0.1_0.6_0.3_3.church",-0.0983252851362436
"37","0.1_0.6_0.3_4.church",-0.112687517454233
"38","0.1_0.6_0.3_5.church",-0.119425997039237
"39","0.1_0.6_0.3_6.church",-0.122168495137661
"40","0.1_0.6_0.3_7.church",-0.123217599063009
"41","0.1_0.6_0.3_8.church",-0.123609238540918
"42","0.1_0.6_0.3_9.church",-0.12375409885813
"183","0.5_0.1_0.4_3.church",-0.163424263139914
"184","0.5_0.1_0.4_4.church",-0.203367106389705
"185","0.5_0.1_0.4_5.church",-0.222391086787026
"186","0.5_0.1_0.4_6.church",-0.230174601590113
"187","0.5_0.1_0.4_7.church",-0.233157354513544
"188","0.5_0.1_0.4_8.church",-0.23427152842409
"189","0.5_0.1_0.4_9.church",-0.234683732274989
"155","0.4_0.2_0.4_3.church",-0.315313073603975
"156","0.4_0.2_0.4_4.church",-0.353149750308192
"157","0.4_0.2_0.4_5.church",-0.370062574771569
"158","0.4_0.2_0.4_6.church",-0.376773607268032
"159","0.4_0.2_0.4_7.church",-0.379313048755373
"160","0.4_0.2_0.4_8.church",-0.380257023041383
"161","0.4_0.2_0.4_9.church",-0.380605623801921
"29","0.1_0.5_0.4_3.church",-0.438289456825238
"30","0.1_0.5_0.4_4.church",-0.451860163619976
"31","0.1_0.5_0.4_5.church",-0.458047193399316
"32","0.1_0.5_0.4_6.church",-0.460531664774022
"33","0.1_0.5_0.4_7.church",-0.461476877858394
"34","0.1_0.5_0.4_8.church",-0.461828995606322
"35","0.1_0.5_0.4_9.church",-0.461959135710206
"148","0.4_0.1_0.5_3.church",-0.49147195869192
"149","0.4_0.1_0.5_4.church",-0.513755151217888
"120","0.3_0.3_0.4_3.church",-0.516539944993548
"78","0.2_0.4_0.4_3.church",-0.523727939342032
"150","0.4_0.1_0.5_5.church",-0.523801420768525
"151","0.4_0.1_0.5_6.church",-0.527805281953441
"152","0.4_0.1_0.5_7.church",-0.529323143090536
"153","0.4_0.1_0.5_8.church",-0.529887776348411
"154","0.4_0.1_0.5_9.church",-0.530096346407111
"121","0.3_0.3_0.4_4.church",-0.531296305036958
"79","0.2_0.4_0.4_4.church",-0.534156484269032
"122","0.3_0.3_0.4_5.church",-0.537410170907549
"80","0.2_0.4_0.4_5.church",-0.538640288141204
"123","0.3_0.3_0.4_6.church",-0.539746690330478
"81","0.2_0.4_0.4_6.church",-0.540389016540624
"124","0.3_0.3_0.4_7.church",-0.540616999115371
"125","0.3_0.3_0.4_8.church",-0.540938544892389
"82","0.2_0.4_0.4_7.church",-0.541046215015407
"126","0.3_0.3_0.4_9.church",-0.541057016903396
"83","0.2_0.4_0.4_8.church",-0.541289879658546
"84","0.2_0.4_0.4_9.church",-0.541379776006715
"113","0.3_0.2_0.5_3.church",-0.678078138279777
"114","0.3_0.2_0.5_4.church",-0.685029311763616
"115","0.3_0.2_0.5_5.church",-0.687921586796307
"116","0.3_0.2_0.5_6.church",-0.689023582060762
"117","0.3_0.2_0.5_7.church",-0.689433114221216
"118","0.3_0.2_0.5_8.church",-0.689584261487996
"119","0.3_0.2_0.5_9.church",-0.689639927665693
"106","0.3_0.1_0.6_3.church",-0.711795262433572
"107","0.3_0.1_0.6_4.church",-0.718224638868805
"108","0.3_0.1_0.6_5.church",-0.721002066299607
"109","0.3_0.1_0.6_6.church",-0.722083331964908
"110","0.3_0.1_0.6_7.church",-0.722489060881714
"111","0.3_0.1_0.6_8.church",-0.722639381710305
"112","0.3_0.1_0.6_9.church",-0.722694824337896
"22","0.1_0.4_0.5_3.church",-0.737226303158344
"23","0.1_0.4_0.5_4.church",-0.741606177873123
"24","0.1_0.4_0.5_5.church",-0.743528478598899
"25","0.1_0.4_0.5_6.church",-0.744285453662794
"26","0.1_0.4_0.5_7.church",-0.744571063521251
"27","0.1_0.4_0.5_8.church",-0.74467711807252
"28","0.1_0.4_0.5_9.church",-0.74471626753394
"77","0.2_0.3_0.5_9.church",-0.78175917902178
"76","0.2_0.3_0.5_8.church",-0.781791567083075
"75","0.2_0.3_0.5_7.church",-0.781879043966293
"74","0.2_0.3_0.5_6.church",-0.782112777415831
"73","0.2_0.3_0.5_5.church",-0.782720177488803
"72","0.2_0.3_0.5_4.church",-0.784198162949102
"71","0.2_0.3_0.5_3.church",-0.78736814733261
"70","0.2_0.2_0.6_9.church",-0.835658246915669
"69","0.2_0.2_0.6_8.church",-0.835681960403088
"68","0.2_0.2_0.6_7.church",-0.835745962657161
"67","0.2_0.2_0.6_6.church",-0.835916642977449
"66","0.2_0.2_0.6_5.church",-0.836357859523242
"63","0.2_0.1_0.7_9.church",-0.836850990530141
"62","0.2_0.1_0.7_8.church",-0.836854653770607
"61","0.2_0.1_0.7_7.church",-0.836864426282311
"60","0.2_0.1_0.7_6.church",-0.836889669301628
"59","0.2_0.1_0.7_5.church",-0.836949397577756
"58","0.2_0.1_0.7_4.church",-0.837060398838118
"57","0.2_0.1_0.7_3.church",-0.837156621463113
"65","0.2_0.2_0.6_4.church",-0.837416242833563
"64","0.2_0.2_0.6_3.church",-0.839603080818812
"21","0.1_0.3_0.6_9.church",-0.873788731113333
"20","0.1_0.3_0.6_8.church",-0.873801659050058
"19","0.1_0.3_0.6_7.church",-0.873836574397792
"18","0.1_0.3_0.6_6.church",-0.873929850520111
"17","0.1_0.3_0.6_5.church",-0.874172071830132
"16","0.1_0.3_0.6_4.church",-0.874759325321761
"15","0.1_0.3_0.6_3.church",-0.875995892291176
"7","0.1_0.1_0.8_9.church",-0.903294912344938
"6","0.1_0.1_0.8_8.church",-0.903305865490554
"5","0.1_0.1_0.8_7.church",-0.9033354659494
"4","0.1_0.1_0.8_6.church",-0.903414673826933
"3","0.1_0.1_0.8_5.church",-0.90362120302613
"2","0.1_0.1_0.8_4.church",-0.904126170372519
"1","0.1_0.1_0.8_3.church",-0.905198981879
"14","0.1_0.2_0.7_9.church",-0.906282947407734
"13","0.1_0.2_0.7_8.church",-0.906301159266248
"12","0.1_0.2_0.7_7.church",-0.906350393358025
"11","0.1_0.2_0.7_6.church",-0.90648226351681
"10","0.1_0.2_0.7_5.church",-0.906826975042092
"9","0.1_0.2_0.7_4.church",-0.907675325542842
"8","0.1_0.2_0.7_3.church",-0.909506108993747
